name,opendate,area,code,stationname,latitude,longitude,stationId
Meridian,LRT,,,,1.397002,103.908884,172
Coral Edge,LRT,,,,1.39392,103.912633,173
Riviera,LRT,,,,1.39454,103.916056,174
Kadaloor,LRT,,,,1.399633,103.916536,175
Oasis,LRT,,,,1.402304,103.912736,176
Damai,LRT,,,,1.405293,103.908606,177
Sam Kee,LRT,,,,1.409808,103.90492,178
Teck Lee,LRT,,,,1.412783,103.906565,179
Punggol Point,LRT,,,,1.416932,103.90668,180
Samudera,LRT,,,,1.415955,103.902185,181
Nibong,LRT,,,,1.411865,103.900321,182
Sumang,LRT,,,,1.408501,103.898605,183
Soo Teck,LRT,,,,1.405436,103.897287,184
